Loci	ips
4931433A01Rik	3.78958
4931440F15Rik	5.23682
4932409I22Rik	4.59806
4932411G14Rik	4.20226
4932413O14Rik	3.54408
4932414N04Rik	2.5055
4932417H02Rik	4.53678
4932425I24Rik	4.37847
4932431H17Rik	2.69395
4932432K03Rik	6.92327
4932438H23Rik	4.21607
4932701A20Rik	2.76905
4933400E14Rik	3.7508
4933401F05Rik	5.63334
4933402J07Rik	4.60342
4933402N03Rik	3.791
4933403F05Rik	6.51659
4933403G14Rik	5.34558
4933403O03Rik	3.23476
4933404M02Rik	2.84637
4933404M19Rik	5.18336
4933405O20Rik	4.06729
4933407H18Rik	5.01313
4933407I18Rik	4.01875
4933409K07Rik	4.48193
4933414I15Rik	4.13931
4933415F23Rik	3.0535
4933417A18Rik	2.87797
4933421I07Rik	4.42447
4933422H20Rik	4.4782
4933425L06Rik	2.86486
4933425O20Rik	3.27829
4933427D06Rik	5.38312
4933430I17Rik	2.93273
4933431E20Rik	3.39232
4933434I06Rik	3.61605
4933434I20Rik	4.25728
4933436I01Rik	2.5742
4933437K13Rik	4.89812
4933437N03Rik	3.66049
5033411D12Rik	3.04615
5033413D22Rik	5.46226
5330417C22Rik	3.43349
5330421F07Rik	4.9678
5330438D12Rik	5.3886
5330439B14Rik	3.22311
5430402E10Rik	2.68229
5430407P10Rik	3.74431
5430416O09Rik	3.51138
5430419D17Rik	4.32003
5430420C16Rik	3.13046
5430421N21Rik	5.90391
5430435G22Rik	5.17273
5630401D24Rik	5.74088
5730409G15Rik	5.97123
5730410E15Rik	4.38315
5730442P18Rik	4.1612
5730507A09Rik	4.74337
5730528L13Rik	7.27182
5730557B15Rik	3.90509
5730577I03Rik	3.98883
5730596B20Rik	4.40424
5830403L16Rik	3.55173
5830405N20Rik	4.22178
5830406J20Rik	3.42079
5830411N06Rik	4.9857
5830418K08Rik	5.55646
5830428H23Rik	4.32656
5830443L24Rik	4.86051
5830443L24Rik$5830443L24Rik	4.59037
5830472M02Rik	5.59767
5830483C08Rik	6.51737
5930403N24Rik	3.14962
5930422O12Rik	2.51451
5930434B04Rik	6.17302
6030405A18Rik	3.86805
6030419C18Rik	5.16238
6030446N20Rik	4.56495
6030498E09Rik	2.49753
6230409E13Rik	3.8716
6230410P16Rik	5.12648
6330403K07Rik	4.77857
6330406I15Rik$6330406I15Rik	4.30949
6330408A02Rik	4.33088
6330416G13Rik	5.49472
6330416L07Rik$3110048L19Rik	5.68546
6330439K17Rik	3.51838
6330500D04Rik	4.5925
6330503C03Rik	4.80653
6330505N24Rik	5.08278
6330512M04Rik	4.68866
6330527O06Rik	3.16636
6330545A04Rik	4.61655
6330548G22Rik	6.53908
6332401O19Rik	4.901
6430502M16Rik	3.5918
6430517E21Rik	3.70236
6430526N21Rik	5.54259
6430531B16Rik	5.09754
6430537H07Rik	4.64899
6430548M08Rik	4.8362
6430550H21Rik	2.7085
6430553K19Rik	2.53689
6430571L13Rik	3.7857
6430573F11Rik	3.21555
6530401C20Rik	4.53523
6530401N04Rik$6530401N04Rik	4.99685
6530418L21Rik	5.0888
6620401K05Rik	6.40135
6720456H20Rik	4.06898
6820408C15Rik	4.95476
7420416P09Rik	3.85448
7530404M11Rik	3.88255
8030411F24Rik	3.82619
8030451F13Rik	4.22898
8030451K01Rik	6.36954
8030462N17Rik	5.60945
8030463A06Rik	4.11025
8430406I07Rik	7.58139
8430415E04Rik	4.87303
9030205A07Rik	3.35178
9030224M15Rik	3.62475
9030605E09Rik	2.72884
9030605I04Rik	4.927
9030607L17Rik	6.22794
9030611O19Rik	5.06849
9030619P08Rik	3.40456
9130008F23Rik	4.92247
9130014G24Rik	2.44498
9130017N09Rik	5.70336
9130019O22Rik$6430604K15Rik	2.66687
9130019P16Rik	3.43391
9130206N08Rik	3.74428
9130211I03Rik	4.44749
9130221D24Rik	4.85522
9130409I23Rik	2.35187
9230104L09Rik	5.01125
9230105E10Rik	3.80097
9230110C19Rik	5.71162
9230112E08Rik	3.25488
9330120H11Rik	4.85173
9330128J19Rik	4.97546
9330133O14Rik	5.12445
9330175E14Rik	4.07251
9330180L21Rik	5.37049
9330182L06Rik	2.80631
9430022F06Rik	4.11311
9430028L06Rik	3.14406
9430069J07Rik	4.26481
9430070O13Rik	2.45601
9530002B09Rik	3.59642
9530003J23Rik	2.80351
9530008L14Rik	3.40504
9530056K15Rik	3.33303
9530066K23Rik	4.63096
9530077C05Rik	4.90885
9530096D07Rik	4.29507
9630013D21Rik	2.3972
9630025I21Rik	5.14217
9630030I15Rik	4.09319
9630031F12Rik	4.21793
9630041N07Rik	2.68463
9630050M13Rik	5.7326
9830102E05Rik	2.23562
9830134C10Rik	4.76502
9930013L23Rik	5.00797
9930023K05Rik	4.76753
9930039A11Rik	5.23635
9930104L06Rik	6.00816
A030001H23Rik	2.36969
A030004J04Rik	3.57677
A030009H04Rik	4.83692
A030010K20Rik	2.85184
A130010J15Rik	6.22176
A130042E20Rik	3.92732
A130050O07Rik	3.1463
A130090K04Rik	2.96518
A130092J06Rik	4.86813
A230051G13Rik	5.57798
A230067G21Rik	5.84657
A230069A22Rik	3.21829
A230097K15Rik	5.24383
A230106N23Rik	3.6315
A230107C01Rik$1700067C01Rik	4.48921
A2bp1	3.50929
A330021E22Rik	4.02903
A330049M08Rik	4.62834
A330102K23Rik	4.33579
A330104H05Rik	2.7769
A430010J10Rik	2.46781
A430033K04Rik	5.54783
A430107D22Rik	3.9107
A430107O13Rik	4.39887
A430107P09Rik	2.84279
A4galt	6.29534
A4gnt	4.48272
A530016L24Rik	4.11547
A530016O06Rik	2.27255
A530023O14Rik	4.16419
A530050D06Rik	5.73058
A530054K11Rik	6.24352
A530065I17Rik	5.08298
A530088H08Rik	4.11066
A530088I07Rik	4.24079
A630005I04Rik	4.90805
A630018P17Rik	6.68161
A630023P12Rik	3.63573
A630055G03Rik	5.12955
A630077B13Rik	5.63467
A630095E13Rik	2.48624
A730011L01Rik	4.98452
A730017C20Rik	3.53967
A730034C02	4.45198
A730037C10Rik	5.33264
A830006F12Rik	2.96055
A830018L16Rik	3.51749
A830036E02Rik	3.64258
A830039N20Rik	3.27756
A830043J08Rik	2.73671
A830053O21Rik	4.63924
A830059I20Rik	5.07542
A930001M12Rik	4.45974
A930001N09Rik	5.91792
A930002I21Rik	3.3088
A930005I04Rik	3.37098
A930006D11Rik	3.81876
A930008G19Rik	5.30317
A930012O16Rik	4.01106
A930016P21Rik	5.55437
A930017N06Rik	3.74409
A930018P22Rik	3.64956
A930025D01Rik	5.55446
A930037G23Rik	5.84421
A930038C07Rik	4.71571
A930041I02Rik	5.79979
AA388235	5.28901
AA407270	4.41673
