Loci	ips
Syngr3	0
Syne2	0
Syne1	0
Sync	0
Syn3	0
Syn2	0
Sycp2	0
Sycn	0
Svs7	0
Svs6	0
Svs5	0
Svs4	0
Svs3a	0
Svs2	0
Svop	0
Sval2	0
Sval1	0
Sva	0
Sv2b	0
Susd3	0
Sumo3	0
Sult3a1	0
Sult2b1	0
Sult1e1	0
Sult1d1	0
Sult1c2	0
Sult1b1	0
Sult1a1	0
Sucnr1	0
Styxl1	0
Styk1	0
Stxbp6	0
Stxbp5	0
Stxbp4	0
Stx1b1	0
Stx1a	0
Stx19	0
Strm	0
Strc	0
Stra6	0
Stox2	0
Stoml3	0
Stmn4	0
Stk39	0
Stk36	0
Stk32c	0
Stk32b	0
Stk32a	0
Stk22s1	0
Stfa3	0
Stfa2l1	0
Steap4	0
Stc1	0
Stbd1	0
Stat2	0
Stard7	0
Stard6	0
Stard5	0
Stard13	0
Star	0
Stac3	0
Stac	0
Stab2	0
Stab1	0
St8sia6	0
St8sia5	0
St8sia4	0
St8sia3	0
St7	0
St6galnac5	0
St6galnac3	0
St6galnac2	0
St6galnac1	0
St6gal2	0
St3gal6	0
St3gal1	0
St18	0
Sstr5	0
Sstr4	0
Sstr3	0
Sstr2	0
Sstr1	0
Sspo	0
Sspn	0
Ssh3	0
Ssbp2	0
Sry	0
Srrp	0
Srr	0
Srpx	0
Srpk3	0
Srgap3	0
Srgap1	0
Srd5a2l2	0
Srd5a2	0
Spty2d1	0
Sptlc3	0
Spt2	0
Spt1	0
Spsb4	0
Spry3	0
Sprr2i	0
Sprr2f	0
Sprr2d	0
Sprr1b	0
Sprr1a	0
Sprn	0
Spred3	0
Spp2	0
Spon2	0
Spon1	0
Spock3	0
Spock1	0
Spo11	0
Spn	0
Spint4	0
Spinlw1	0
Spink8	0
Spink5	0
Spink4	0
Spink12	0
Spink10	0
Spib	0
Sphk1	0
Spg3a	0
Spert	0
Spem1	0
Speg	0
Spef1	0
Speer4b$EG664804	0
Spdyb	0
Spdef	0
Spatc1	0
Spata4	0
Spata3	0
Spata2L	0
Spata19	0
Spata17	0
Spata16	0
Spata1	0
Sparcl1	0
