Loci	pips
A730017C20Rik_pips	3.69037
A730034C02_pips	5.63649
A830006F12Rik_pips	2.93909
A830018L16Rik_pips	3.39392
A830036E02Rik_pips	2.95048
A830039N20Rik_pips	3.32105
A830043J08Rik_pips	2.59664
A930001N09Rik_pips	5.35583
A930002I21Rik_pips	3.56171
A930005I04Rik_pips	3.42128
A930006D11Rik_pips	3.81882
A930008G19Rik_pips	8.57155
A930012O16Rik_pips	4.52401
A930016P21Rik_pips	5.61845
A930017N06Rik_pips	3.96254
A930018P22Rik_pips	3.75705
A930025D01Rik_pips	6.12224
AA415398_pips	4.27537
AA536717_pips	6.00534
AA536749_pips	5.07675
AA881470_pips	6.27684
AA986860_pips	2.72503
AB112350_pips	5.95454
AB124611_pips	3.69312
AF067063_pips	3.48202
AF366264_pips	2.85188
AI317395$2010001E11Rik_pips	2.7606
AI428936_pips	5.80788
AI429214_pips	5.90859
AI451557_pips	3.19546
AI451617$AI451617_pips	3.90682
AI586015_pips	2.81455
AI593442_pips	3.68749
AI646023_pips	3.0305
AI747448$AI747448_pips	2.29168
AI747448_pips	2.22768
AI842396_pips	5.09649
AI846148_pips	6.27741
AI851790_pips	3.46385
AI894139_pips	5.77526
AK129341_pips	4.72677
AK162044_pips	3.38252
AK220484_pips	5.37359
AU015228_pips	3.20311
AU017455_pips	4.66369
AU018829_pips	3.63966
AU020772_pips	6.47993
AU021034_pips	4.30094
AU022751_pips	4.07838
AU042651_pips	4.77941
AV249152_pips	4.55762
AV320801_pips	2.34113
AW061290_pips	3.77288
AW551984_pips	5.99548
AY026312_pips	3.78171
AY074887_pips	3.26445
AY702102_pips	2.51138
AY702103_pips	3.92735
Aadac_pips	3.92774
Aadat_pips	5.62648
Aard_pips	4.14071
Aass_pips	5.45615
Abat_pips	3.95846
Abca13_pips	3.41567
Abca14_pips	2.54555
Abca16_pips	2.56654
Abca2_pips	6.46957
Abca4_pips	4.28717
Abca6_pips	3.09638
Abca8a_pips	3.16597
Abca8b_pips	3.91556
Abca9_pips	3.93315
Abcb11_pips	4.30246
Abcb1a_pips	4.51098
Abcc10_pips	5.70674
Abcc12_pips	3.59259
Abcc3_pips	5.89986
Abcc6_pips	3.18942
Abcc8_pips	4.65178
Abcc9_pips	4.22557
Abcd2_pips	3.10151
Abcg3_pips	4.32442
Abcg5_pips	2.92213
Abhd2_pips	5.49704
Abhd3_pips	3.48198
Abhd7_pips	3.39709
Abhd9_pips	4.9607
Abi3bp_pips	2.40071
Abl1_pips	6.95927
Ablim2_pips	5.83313
Ablim3_pips	3.01307
Abo_pips	2.87484
Abpb_pips	2.58603
Abpd_pips	3.05098
Abra_pips	2.99102
Acacb_pips	5.0604
Acan_pips	5.08322
Accn1_pips	4.39464
Accn3_pips	2.977
Accn4_pips	4.69308
Accn5_pips	3.2008
Ace2_pips	3.80302
Ache_pips	3.86222
Acot12_pips	4.38644
Acot4_pips	3.71675
Acot5_pips	2.91669
Acot6_pips	5.11987
Acox2_pips	4.43507
Acox3_pips	5.4111
Acoxl_pips	4.44063
Acp5_pips	4.3776
Acpl2_pips	4.61316
Acrbp_pips	5.30776
Acrv1_pips	3.42134
Acsbg2_pips	4.27551
Acsl3_pips	5.90336
Acsl6_pips	4.35144
Acsm1_pips	3.85555
Acsm2_pips	4.25509
Acsm3_pips	3.99249
Acss1_pips	3.25822
Acss2_pips	6.26196
Acta2_pips	3.2422
Actl6b_pips	3.32476
Actl7a_pips	4.8505
Actn3_pips	5.12698
Actrt1_pips	4.22587
Actrt2_pips	3.15637
Acvr1c_pips	3.91713
Acvrl1_pips	4.81827
Adad1_pips	2.52304
Adam11_pips	5.1308
Adam12_pips	4.14033
Adam18_pips	3.23713
Adam1a_pips	5.05004
Adam1b_pips	4.03203
Adam24_pips	3.12197
Adam25_pips	2.24187
Adam26a_pips	3.03362
Adam28_pips	3.8566
Adam2_pips	3.00046
Adam32_pips	3.09339
Adam33_pips	5.0045
Adam34_pips	2.67992
Adam3_pips	3.00266
Adam5_pips	2.54261
Adam7_pips	3.93843
Adam8_pips	5.36145
Adamdec1_pips	3.68305
Adamts12_pips	3.68567
Adamts15_pips	4.26397
Adamts18_pips	2.74971
Adamts19_pips	2.93702
Adamts20_pips	2.33909
Adamts3_pips	3.32611
Adamts4_pips	5.28342
Adamts6_pips	3.6427
Adamts7_pips	6.75359
Adamtsl1_pips	5.34179
Adarb2_pips	3.78545
Adat1_pips	5.60419
Adck2_pips	6.08862
Adcy1_pips	4.45466
Adcy4_pips	4.7061
Adcy5$Adcy5_pips	4.09352
Adcy7_pips	3.786
Adcy8_pips	3.16728
Adcy9_pips	6.13481
Adcyap1_pips	3.66988
Add2_pips	4.85531
Adh4_pips	3.60866
Adh6a_pips	3.89496
Adhfe1_pips	4.74043
Adipoq_pips	2.8844
Admr_pips	4.65509
Adora1_pips	5.80588
Adora3_pips	4.4141
Adprhl1_pips	5.23547
Adra1a_pips	4.11794
Adra2a$Adra2a_pips	4.0361
Adra2b_pips	4.49915
Adra2c_pips	4.90518
Adrb1_pips	5.02566
Adrb2_pips	6.41389
Adrb3_pips	5.03238
Adrbk2_pips	3.92282
Afap1l1_pips	4.23233
Aff2_pips	4.17242
Afg3l1_pips	7.72951
Afmid_pips	5.12242
Afp_pips	3.95263
Agbl3_pips	3.77189
Agbl5_pips	6.26806
Ager_pips	5.19921
Agmat_pips	5.26047
Agr2_pips	2.56887
Agr3_pips	2.75356
Agtr1b_pips	3.67252
Agtr2_pips	2.78787
Agtrl1_pips	4.11805
Agxt2_pips	2.8318
Agxt2l1_pips	4.00725
Ahrr_pips	3.37638
Aicda_pips	3.98222
Aifm3_pips	5.01669
Aim2_pips	6.94053
Aipl1_pips	4.90619
Ajap1_pips	3.90218
Akap14_pips	4.346
Akap3_pips	4.36108
Akap4_pips	4.45834
Akap6_pips	4.59815
Akna_pips	5.14999
Akp3_pips	4.43763
Akr1b7_pips	3.95012
Akr1c12$Akr1c12_pips	4.00309
Akr1c13$Akr1c12_pips	4.67092
Akr1c19_pips	3.68357
Akr1c20_pips	2.68715
Akr1c6_pips	4.00135
Akr1d1_pips	3.24319
Alas2_pips	3.66287
Alb_pips	4.15327
Aldh1a1_pips	3.3774
Aldh1a2_pips	4.35227
Aldh1a7_pips	3.36049
Aldh1b1_pips	6.28494
Aldh1l1_pips	4.84781
Alg12_pips	6.51935
Alk_pips	4.18011
Alms1_pips	5.75169
Alox12_pips	3.66665
Alox12b_pips	5.59249
Alox8_pips	3.62538
Alpi_pips	5.22494
Als2_pips	6.57299
Als2cr11_pips	2.29244
Als2cr12_pips	4.1881
Alx1_pips	2.66671
Alx4_pips	4.64329
Amac1_pips	5.33652
Amacr_pips	5.81929
Ambn_pips	2.85785
Ambp_pips	3.85726
Amhr2_pips	5.08423
Amigo1_pips	4.80996
Amigo2_pips	6.23306
Ampd1_pips	3.3132
Amph_pips	3.15834
Amy1_pips	2.6491
Ang2_pips	3.87897
Ang4_pips	4.1441
Ang_pips	5.4598
Angpt1_pips	3.78326
Angpt2_pips	4.59204
Angpt4_pips	4.69549
Angptl1_pips	4.15354
Angptl3_pips	3.08297
Angptl4_pips	2.32656
Ank1_pips	5.29446
Ank2_pips	4.51654
Ankmy2_pips	6.45188
Ankra2_pips	6.3094
Ankrd13d_pips	5.39194
Ankrd22_pips	3.485
Ankrd33_pips	4.20098
Ankrd34_pips	4.63824
Ankrd35_pips	4.00639
Ankrd36_pips	5.12997
Ankrd39_pips	6.73624
Ankrd42_pips	3.04121
Ankrd43_pips	2.10818
Ankrd52_pips	3.44481
Ankrd55_pips	3.31726
Ankrd56_pips	3.94433
Ankrd5_pips	3.15002
